entity,key,exclude,note
Network,id,,
Network,identifier,,
Network,name,,
Network,website,,
Network,publisher/name,,
Network,publisher/identifier/id,,
Network,publisher/identifier/scheme,,
Network,publisher/identifier/legalName,,
Network,publisher/identifier/uri,,
Network,publicationDate,,
Network,collectionDate,,
Network,accuracy,,
Network,accuracyDetails,,
Network,language,,
Network,Nodes,,
Network,Spans,,
Network,Phases,,
Node,id,,
Node,name,,
Node,status,,
Node,location,,A point geometry (coordinate pair).
Node,address/streetAddress,,
Node,address/locality,true,
Node,address/region,true,
Node,address/postalCode,true,
Node,address/country,true,
Node,type,,
Node,supportingInfrastructure/type,,
Node,supportingInfrastructure/description,,
Node,supportingInfrastructure/spareCapacity,,
Node,accessPoint,,
Node,internationalConnections/0/streetAddress,true,
Node,internationalConnections/0/locality,true,
Node,internationalConnections/0/region,true,
Node,internationalConnections/0/postalCode,true,
Node,internationalConnections/0/country,,
Node,power,,
Node,technologies,,
Node,Phase,,
Node,Owner,,
Node,Transmission medium owner,,
Node,Network providers,,
Span,id,,
Span,name,,
Span,status,,
Span,readyForServiceDate,,
Span,directed,,
Span,route,,A linestring geometry (list of coordinate pairs).
Span,transmissionMedium,,
Span,deployment,,
Span,supportingInfrastructure/type,,
Span,supportingInfrastructure/description,,
Span,supportingInfrastructure/spareCapacity,,
Span,codeployment,,
Span,cableType,,
Span,darkFibre,,
Span,fibreType,,
Span,fibreTypeDetails/fibreSubtype,,
Span,fibreTypeDetails/description,,
Span,fibreCount,,
Span,fibreLength,,
Span,technologies,,
Span,capacity,,
Span,capacityDetails/description,,
Span,countries,,
Span,Phase,,
Span,Start,,
Span,End,,
Span,Transmission medium owner,,
Span,Network providers,,
Span,Supplier,,
Span,Owner,,
Span,Wayleaves,,
Phase,id,,
Phase,name,,
Phase,description,,
Phase,Funders,,
Organisation,id,,
Organisation,name,,
Organisation,identifier/id,,
Organisation,identifier/scheme,,
Organisation,identifier/legalName,,
Organisation,identifier/uri,,
Organisation,country,,
Organisation,roles,,
Organisation,roleDetails,,
Organisation,website,,
Organisation,logo,,
Contract,id,,
Contract,title,,
Contract,description,,
Contract,type,,
Contract,value/amount,,
Contract,value/currency,,
Contract,dateSigned,,
Contract,Documents,,
Contract,Related phases,,
Document,title,,
Document,description,,
Document,url,,
Document,format,,
Wayleave,id,,
Wayleave,yearSigned,,
Wayleave,term/indefinite,,
Wayleave,term/years,,
Wayleave,cost/recurring,,
Wayleave,cost/perMetre/amount,,
Wayleave,cost/perMetre/currency,,
Wayleave,Grantor,,
